2026-09-25T22:42:29.594Z +0.000s INFO  [app] session=292bafc9 start kabl-ui 0.1.0 (commit 99c28d30a08d) level=DEBUG log=target/signal-inspection-r1/user/logs/kabl.log
2026-09-25T22:42:29.598Z +0.004s INFO  [library] session=292bafc9 factory sounds: /home/user/kabl/patches; your sounds: target/signal-inspection-r1/user/sounds
2026-09-25T22:42:29.601Z +0.007s INFO  [midi] session=292bafc9 listening for MIDI on "kabl-pipe" (test pipe)
2026-09-25T22:42:29.601Z +0.007s INFO  [audio] session=292bafc9 backend=Alsa requested rate=Some(48000) frames=Some(256) rt=true
2026-09-25T22:42:43.456Z +13.862s DEBUG [graph] session=292bafc9 compiled generation=87 fresh=false modules=6 took_us=49
2026-09-25T22:42:43.474Z +13.879s DEBUG [graph] session=292bafc9 compiled generation=88 fresh=false modules=6 took_us=73
2026-09-25T22:42:43.496Z +13.902s DEBUG [graph] session=292bafc9 compiled generation=89 fresh=false modules=6 took_us=48
2026-09-25T22:42:43.516Z +13.922s DEBUG [graph] session=292bafc9 compiled generation=90 fresh=false modules=6 took_us=41
2026-09-25T22:42:43.533Z +13.939s DEBUG [graph] session=292bafc9 compiled generation=91 fresh=false modules=6 took_us=42
2026-09-25T22:42:43.553Z +13.958s DEBUG [graph] session=292bafc9 compiled generation=92 fresh=false modules=6 took_us=69
2026-09-25T22:42:43.571Z +13.977s DEBUG [graph] session=292bafc9 compiled generation=93 fresh=false modules=6 took_us=41
2026-09-25T22:42:43.588Z +13.994s DEBUG [graph] session=292bafc9 compiled generation=94 fresh=false modules=6 took_us=64
2026-09-25T22:42:43.610Z +14.016s DEBUG [graph] session=292bafc9 compiled generation=95 fresh=false modules=6 took_us=46
2026-09-25T22:42:43.629Z +14.035s DEBUG [graph] session=292bafc9 compiled generation=96 fresh=false modules=6 took_us=60
2026-09-25T22:42:43.652Z +14.058s DEBUG [graph] session=292bafc9 compiled generation=97 fresh=false modules=6 took_us=62
2026-09-25T22:42:43.676Z +14.082s DEBUG [graph] session=292bafc9 compiled generation=98 fresh=false modules=6 took_us=49
2026-09-25T22:42:43.696Z +14.102s DEBUG [graph] session=292bafc9 compiled generation=99 fresh=false modules=6 took_us=46
2026-09-25T22:42:43.716Z +14.122s DEBUG [graph] session=292bafc9 compiled generation=100 fresh=false modules=6 took_us=47
2026-09-25T22:42:43.736Z +14.141s DEBUG [graph] session=292bafc9 compiled generation=101 fresh=false modules=6 took_us=40
2026-09-25T22:42:43.757Z +14.163s DEBUG [graph] session=292bafc9 compiled generation=102 fresh=false modules=6 took_us=41
2026-09-25T22:42:43.773Z +14.179s DEBUG [graph] session=292bafc9 compiled generation=103 fresh=false modules=6 took_us=41
2026-09-25T22:42:43.791Z +14.196s DEBUG [graph] session=292bafc9 compiled generation=104 fresh=false modules=6 took_us=40
2026-09-25T22:42:43.806Z +14.212s DEBUG [graph] session=292bafc9 compiled generation=105 fresh=false modules=6 took_us=43
2026-09-25T22:42:43.821Z +14.227s DEBUG [graph] session=292bafc9 compiled generation=106 fresh=false modules=6 took_us=41
2026-09-25T22:42:43.836Z +14.242s DEBUG [graph] session=292bafc9 compiled generation=107 fresh=false modules=6 took_us=41
2026-09-25T22:42:43.857Z +14.263s DEBUG [graph] session=292bafc9 compiled generation=108 fresh=false modules=6 took_us=43
2026-09-25T22:42:43.873Z +14.278s DEBUG [graph] session=292bafc9 compiled generation=109 fresh=false modules=6 took_us=41
2026-09-25T22:42:43.889Z +14.294s DEBUG [graph] session=292bafc9 compiled generation=110 fresh=false modules=6 took_us=68
2026-09-25T22:42:43.905Z +14.311s DEBUG [graph] session=292bafc9 compiled generation=111 fresh=false modules=6 took_us=44
2026-09-25T22:42:43.921Z +14.327s DEBUG [graph] session=292bafc9 compiled generation=112 fresh=false modules=6 took_us=40
2026-09-25T22:42:43.938Z +14.344s DEBUG [graph] session=292bafc9 compiled generation=113 fresh=false modules=6 took_us=49
2026-09-25T22:42:43.959Z +14.365s DEBUG [graph] session=292bafc9 compiled generation=114 fresh=false modules=6 took_us=49
2026-09-25T22:42:43.976Z +14.382s DEBUG [graph] session=292bafc9 compiled generation=115 fresh=false modules=6 took_us=58
2026-09-25T22:42:43.998Z +14.404s DEBUG [graph] session=292bafc9 compiled generation=116 fresh=false modules=6 took_us=49
2026-09-25T22:42:44.017Z +14.423s DEBUG [graph] session=292bafc9 compiled generation=117 fresh=false modules=6 took_us=43
2026-09-25T22:42:44.033Z +14.439s DEBUG [graph] session=292bafc9 compiled generation=118 fresh=false modules=6 took_us=43
2026-09-25T22:42:44.054Z +14.460s DEBUG [graph] session=292bafc9 compiled generation=119 fresh=false modules=6 took_us=43
2026-09-25T22:42:44.072Z +14.478s DEBUG [graph] session=292bafc9 compiled generation=120 fresh=false modules=6 took_us=44
2026-09-25T22:42:44.088Z +14.494s DEBUG [graph] session=292bafc9 compiled generation=121 fresh=false modules=6 took_us=45
2026-09-25T22:42:44.106Z +14.512s DEBUG [graph] session=292bafc9 compiled generation=122 fresh=false modules=6 took_us=43
2026-09-25T22:42:44.127Z +14.533s DEBUG [graph] session=292bafc9 compiled generation=123 fresh=false modules=6 took_us=40
2026-09-25T22:42:44.147Z +14.553s DEBUG [graph] session=292bafc9 compiled generation=124 fresh=false modules=6 took_us=43
2026-09-25T22:42:44.164Z +14.570s DEBUG [graph] session=292bafc9 compiled generation=125 fresh=false modules=6 took_us=43
2026-09-25T22:42:44.182Z +14.588s DEBUG [graph] session=292bafc9 compiled generation=126 fresh=false modules=6 took_us=53
2026-09-25T22:42:44.202Z +14.608s DEBUG [graph] session=292bafc9 compiled generation=127 fresh=false modules=6 took_us=46
2026-09-25T22:42:44.221Z +14.627s DEBUG [graph] session=292bafc9 compiled generation=128 fresh=false modules=6 took_us=50
2026-09-25T22:42:44.238Z +14.644s DEBUG [graph] session=292bafc9 compiled generation=129 fresh=false modules=6 took_us=47
2026-09-25T22:42:44.258Z +14.664s DEBUG [graph] session=292bafc9 compiled generation=130 fresh=false modules=6 took_us=47
2026-09-25T22:42:44.278Z +14.684s DEBUG [graph] session=292bafc9 compiled generation=131 fresh=false modules=6 took_us=47
2026-09-25T22:42:44.299Z +14.704s DEBUG [graph] session=292bafc9 compiled generation=132 fresh=false modules=6 took_us=71
2026-09-25T22:42:44.317Z +14.723s DEBUG [graph] session=292bafc9 compiled generation=133 fresh=false modules=6 took_us=46
2026-09-25T22:42:44.336Z +14.742s DEBUG [graph] session=292bafc9 compiled generation=134 fresh=false modules=6 took_us=49
2026-09-25T22:42:44.359Z +14.765s DEBUG [graph] session=292bafc9 compiled generation=135 fresh=false modules=6 took_us=48
2026-09-25T22:42:44.376Z +14.782s DEBUG [graph] session=292bafc9 compiled generation=136 fresh=false modules=6 took_us=49
2026-09-25T22:42:44.394Z +14.800s DEBUG [graph] session=292bafc9 compiled generation=137 fresh=false modules=6 took_us=61
2026-09-25T22:42:44.413Z +14.819s DEBUG [graph] session=292bafc9 compiled generation=138 fresh=false modules=6 took_us=58
2026-09-25T22:42:44.430Z +14.836s DEBUG [graph] session=292bafc9 compiled generation=139 fresh=false modules=6 took_us=47
2026-09-25T22:42:44.452Z +14.858s DEBUG [graph] session=292bafc9 compiled generation=140 fresh=false modules=6 took_us=46
2026-09-25T22:42:44.471Z +14.877s DEBUG [graph] session=292bafc9 compiled generation=141 fresh=false modules=6 took_us=52
2026-09-25T22:42:44.490Z +14.896s DEBUG [graph] session=292bafc9 compiled generation=142 fresh=false modules=6 took_us=62
2026-09-25T22:42:44.508Z +14.914s DEBUG [graph] session=292bafc9 compiled generation=143 fresh=false modules=6 took_us=52
2026-09-25T22:42:44.526Z +14.931s DEBUG [graph] session=292bafc9 compiled generation=144 fresh=false modules=6 took_us=48
2026-09-25T22:42:44.554Z +14.960s DEBUG [graph] session=292bafc9 compiled generation=145 fresh=false modules=6 took_us=45
2026-09-25T22:42:44.571Z +14.977s DEBUG [graph] session=292bafc9 compiled generation=146 fresh=false modules=6 took_us=46
